"Location","Currency","Price","Property.Type","Size_Type","Size_Value","Size_Unit","Furnishing"
"Mont Kiara, Kuala Lumpur","RM",1820000,"Condominium (Corner)","Built-up  ",1830,"sq. ft.","Partly Furnished"
"Mont Kiara, Kuala Lumpur","RM",1420000,"Condominium","Built-up  ",1499,"sq. ft.","Partly Furnished"
"Mont Kiara, Kuala Lumpur","RM",1830000,"Condominium","Built-up  ",1832,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",1680000,"Condominium","Built-up  ",1159,"sq. ft.","Fully Furnished"
"KLCC, Kuala Lumpur","RM",2210000,"Condominium","Built-up  ",1502,"sq. ft.","Fully Furnished"
"KLCC, Kuala Lumpur","RM",1420000,"Condominium (Intermediate)","Built-up  ",976,"sq. ft.","Fully Furnished"
"KLCC, Kuala Lumpur","RM",3600000,"Serviced Residence (Corner)","Land area  ",3897,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",1139000,"Condominium","Built-up  ",751,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",2930000,"Serviced Residence (Corner)","Built-up  ",1114,"sq. ft.","Fully Furnished"
"Damansara Heights, Kuala Lumpur","RM",1620000,"Serviced Residence","Built-up  ",1194,"sq. ft.","Partly Furnished"
"Desa ParkCity, Kuala Lumpur","RM",1300000,"Condominium (Intermediate)","Built-up  ",1367,"sq. ft.","Partly Furnished"
"Country Heights Damansara, Kuala Lumpur","RM",8e+06,"Bungalow (Corner)","Land area  ",10600,"sq. ft.","Partly Furnished"
"Damansara Heights, Kuala Lumpur","RM",6500000,"Bungalow (Corner)","Land area  ",7880,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",1600000,"Townhouse","Built-up  ",2400,"sq. ft.","Partly Furnished"
"Desa ParkCity, Kuala Lumpur","RM",1730000,"Condominium (Corner)","Built-up  ",1690,"sq. ft.","Fully Furnished"
"Desa ParkCity, Kuala Lumpur","RM",1500000,"Condominium (Intermediate)","Built-up  ",1346,"sq. ft.","Fully Furnished"
"Desa ParkCity, Kuala Lumpur","RM",1500000,"Condominium (Intermediate)","Built-up  ",1400,"sq. ft.","Partly Furnished"
"Desa ParkCity, Kuala Lumpur","RM",1180000,"Condominium","Built-up  ",1507,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",2950000,"Condominium (Corner)","Built-up  ",2674,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",3090000,"Serviced Residence","Built-up  ",1572,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",1230000,"Serviced Residence (Corner)","Built-up  ",1378,"sq. ft.","Fully Furnished"
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM",350000,"Serviced Residence","Built-up  ",950,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",1230000,"Serviced Residence (Intermediate)","Built-up  ",850,"sq. ft.","Fully Furnished"
"Desa ParkCity, Kuala Lumpur","RM",1250000,"Condominium (Intermediate)","Built-up  ",1303,"sq. ft.","Partly Furnished"
